TABLE_NAME,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_DEFAULT,COLUMN_KEY,EXTRA
account_deletions,id,varchar(36),NO,NULL,PRI,
account_deletions,user_id_hash,varchar(64),NO,NULL,MUL,
account_deletions,phone_hash,varchar(64),NO,NULL,MUL,
account_deletions,email_hash,varchar(64),YES,NULL,MUL,
account_deletions,ip_address,varchar(45),NO,NULL,MUL,
account_deletions,signup_method,"enum('phone','naver','kakao')",NO,NULL,,
account_deletions,deletion_reason,"enum('privacy_concern','service_dissatisfaction','no_longer_needed','duplicate_account','other')",YES,NULL,,
account_deletions,deletion_reason_detail,text,YES,NULL,,
account_deletions,account_age_days,int(11),NO,NULL,,
account_deletions,last_activity_days_ago,int(11),YES,NULL,,
account_deletions,total_logins,int(11),YES,0,,
account_deletions,had_social_accounts,tinyint(1),NO,0,,
account_deletions,deleted_at,timestamp,YES,CURRENT_TIMESTAMP,MUL,DEFAULT_GENERATED
account_deletions,deleted_by_admin,tinyint(1),NO,0,,
account_deletions,admin_id,varchar(36),YES,NULL,,
admin_actions,id,varchar(36),NO,NULL,PRI,
admin_actions,admin_id,varchar(36),NO,NULL,MUL,
admin_actions,action_type,"enum('user_blacklist','user_unblock','force_deletion','pattern_review')",NO,NULL,MUL,
admin_actions,target_user_hash,varchar(64),YES,NULL,,
admin_actions,target_phone_hash,varchar(64),YES,NULL,,
admin_actions,reason,text,YES,NULL,,
admin_actions,metadata,longtext,YES,NULL,,
admin_actions,created_at,timestamp,YES,CURRENT_TIMESTAMP,MUL,DEFAULT_GENERATED
allowed_email_domains,id,varchar(36),NO,NULL,PRI,DEFAULT_GENERATED
allowed_email_domains,domain,varchar(255),NO,NULL,UNI,
allowed_email_domains,provider_name,varchar(100),NO,NULL,,
allowed_email_domains,country,varchar(10),YES,KR,,
allowed_email_domains,is_active,tinyint(1),NO,1,MUL,
allowed_email_domains,created_at,timestamp,YES,CURRENT_TIMESTAMP,,DEFAULT_GENERATED
allowed_email_domains,updated_at,timestamp,YES,CURRENT_TIMESTAMP,,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
daily_page_stats,id,varchar(36),NO,NULL,PRI,DEFAULT_GENERATED
daily_page_stats,page_path,varchar(255),NO,NULL,MUL,
daily_page_stats,date,date,NO,NULL,MUL,
daily_page_stats,total_views,int(11),YES,0,,
daily_page_stats,unique_visitors,int(11),YES,0,,
daily_page_stats,avg_duration,"decimal(8,2)",YES,0.00,,
daily_page_stats,bounce_rate,"decimal(5,2)",YES,0.00,,
daily_page_stats,desktop_count,int(11),YES,0,,
daily_page_stats,mobile_count,int(11),YES,0,,
daily_page_stats,tablet_count,int(11),YES,0,,
daily_page_stats,created_at,timestamp,YES,CURRENT_TIMESTAMP,,DEFAULT_GENERATED
daily_page_stats,updated_at,timestamp,YES,CURRENT_TIMESTAMP,,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
email_verification_limits,id,varchar(36),NO,NULL,PRI,
email_verification_limits,email,varchar(100),NO,NULL,MUL,
email_verification_limits,ip_address,varchar(45),NO,NULL,,
email_verification_limits,attempt_count,int(11),NO,1,,
email_verification_limits,last_attempt_at,timestamp,NO,CURRENT_TIMESTAMP,,DEFAULT_GENERATED
email_verification_limits,blocked_until,timestamp,YES,NULL,MUL,
email_verification_limits,created_at,timestamp,YES,CURRENT_TIMESTAMP,,DEFAULT_GENERATED
email_verification_limits,updated_at,timestamp,YES,CURRENT_TIMESTAMP,,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
email_verifications,id,varchar(36),NO,NULL,PRI,
email_verifications,email,varchar(100),NO,NULL,MUL,
email_verifications,code,varchar(6),NO,NULL,MUL,
email_verifications,is_verified,tinyint(1),NO,0,,
email_verifications,expires_at,timestamp,NO,NULL,MUL,
email_verifications,created_at,timestamp,YES,CURRENT_TIMESTAMP,,DEFAULT_GENERATED
email_verifications,verified_at,timestamp,YES,NULL,,
email_verifications,ip_address,varchar(45),YES,NULL,,
event_participations,id,varchar(36),NO,NULL,PRI,
event_participations,user_id,varchar(36),NO,NULL,MUL,
event_participations,participated_at,timestamp,NO,CURRENT_TIMESTAMP,,DEFAULT_GENERATED
event_participations,participation_date,date,NO,NULL,MUL,
event_participations,ip_address,varchar(45),YES,NULL,,
event_participations,user_agent,text,YES,NULL,,
event_settings,id,int(11),NO,NULL,PRI,auto_increment
